flight,point_time,flight_date_pst,point_time_pst_clean,altitude,ground_speed,heading,lat,lon,icao,call_sign,leg_id,flight_leg,geometry
,2025-01-28 16:26:26.190,2025-01-28,08:26:26,-50,0.7,0.0,33.675476,-117.871474,0d086e,,1,,POINT (-117.871474 33.675476)
,2025-01-28 16:26:31.050,2025-01-28,08:26:31,-100,0.7,0.0,33.67547,-117.871513,0d086e,,1,,POINT (-117.871513 33.67547)
XAUCI   ,2025-01-28 16:26:47.080,2025-01-28,08:26:47,-100,0.7,0.0,33.67547,-117.871513,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.871513 33.67547)
,2025-01-28 16:27:05.180,2025-01-28,08:27:05,-100,0.7,0.0,33.67547,-117.871513,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.871513 33.67547)
,2025-01-28 16:27:22.680,2025-01-28,08:27:22,-100,0.7,0.0,33.67547,-117.871513,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.871513 33.67547)
,2025-01-28 16:27:40.130,2025-01-28,08:27:40,-100,0.7,0.0,33.675476,-117.871474,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.871474 33.675476)
XAUCI   ,2025-01-28 16:27:47.360,2025-01-28,08:27:47,-100,0.7,0.0,33.675476,-117.871474,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.871474 33.675476)
,2025-01-28 16:27:51.810,2025-01-28,08:27:51,-100,2.3,206.6,33.67543,-117.871474,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.871474 33.67543)
,2025-01-28 16:27:53.520,2025-01-28,08:27:53,-100,2.3,206.6,33.67543,-117.87153,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.87153 33.67543)
,2025-01-28 16:27:55.160,2025-01-28,08:27:55,-100,3.7,213.7,33.675423,-117.871513,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.871513 33.675423)
XAUCI   ,2025-01-28 16:27:56.660,2025-01-28,08:27:56,-100,3.2,198.4,33.675377,-117.871513,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.871513 33.675377)
,2025-01-28 16:27:59.410,2025-01-28,08:27:59,-100,4.2,194.0,33.67533,-117.871571,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.871571 33.67533)
,2025-01-28 16:28:01.270,2025-01-28,08:28:01,-100,5.1,191.3,33.675284,-117.871571,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.871571 33.675284)
,2025-01-28 16:28:02.370,2025-01-28,08:28:02,-100,6.4,161.6,33.675247,-117.87153,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.87153 33.675247)
XAUCI   ,2025-01-28 16:28:04.200,2025-01-28,08:28:04,-100,6.7,153.4,33.675201,-117.871474,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.871474 33.675201)
,2025-01-28 16:28:05.850,2025-01-28,08:28:05,-100,6.4,141.3,33.675156,-117.871474,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.871474 33.675156)
,2025-01-28 16:28:07.450,2025-01-28,08:28:07,-100,6.4,128.7,33.675156,-117.871418,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.871418 33.675156)
,2025-01-28 16:28:10.560,2025-01-28,08:28:10,-100,7.2,123.7,33.675064,-117.871306,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.871306 33.675064)
XAUCI   ,2025-01-28 16:28:14.610,2025-01-28,08:28:14,-100,6.4,108.4,33.675051,-117.87117,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.87117 33.675051)
,2025-01-28 16:28:16.860,2025-01-28,08:28:16,-100,6.4,108.4,33.675004,-117.871113,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.871113 33.675004)
,2025-01-28 16:28:18.400,2025-01-28,08:28:18,-100,6.1,99.5,33.675004,-117.871056,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.871056 33.675004)
,2025-01-28 16:28:21.590,2025-01-28,08:28:21,-100,6.1,99.5,33.675004,-117.870998,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.870998 33.675004)
XAUCI   ,2025-01-28 16:28:23.270,2025-01-28,08:28:23,-100,5.0,90.0,33.675004,-117.870941,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.870941 33.675004)
,2025-01-28 16:28:25.950,2025-01-28,08:28:25,-100,4.2,76.0,33.675004,-117.870827,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.870827 33.675004)
,2025-01-28 16:28:27.920,2025-01-28,08:28:27,-100,4.5,63.4,33.675018,-117.870801,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.870801 33.675018)
,2025-01-28 16:28:35.010,2025-01-28,08:28:35,-100,6.4,18.4,33.675144,-117.870712,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.870712 33.675144)
XAUCI   ,2025-01-28 16:28:36.860,2025-01-28,08:28:36,-100,6.7,26.6,33.675191,-117.870655,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.870655 33.675191)
,2025-01-28 16:28:39.600,2025-01-28,08:28:39,-100,6.7,26.6,33.675284,-117.870598,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.870598 33.675284)
,2025-01-28 16:28:41.970,2025-01-28,08:28:41,-100,7.2,33.7,33.67533,-117.870598,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.870598 33.67533)
,2025-01-28 16:28:46.980,2025-01-28,08:28:46,-100,8.1,29.7,33.675522,-117.870465,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.870465 33.675522)
XAUCI   ,2025-01-28 16:28:49.700,2025-01-28,08:28:49,-100,7.6,23.2,33.67561,-117.870426,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.870426 33.67561)
,2025-01-28 16:28:54.510,2025-01-28,08:28:54,-100,7.6,23.2,33.675751,-117.870353,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.870353 33.675751)
,2025-01-28 16:28:59.660,2025-01-28,08:28:59,-100,6.7,26.6,33.675888,-117.870241,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.870241 33.675888)
,2025-01-28 16:29:08.590,2025-01-28,08:29:08,-100,6.7,26.6,33.676163,-117.870072,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.870072 33.676163)
XAUCI   ,2025-01-28 16:29:14.860,2025-01-28,08:29:14,-100,8.1,29.7,33.676346,-117.86996,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.86996 33.676346)
,2025-01-28 16:29:30.530,2025-01-28,08:29:30,-100,8.1,29.7,33.676895,-117.869624,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.869624 33.676895)
,2025-01-28 16:29:36.160,2025-01-28,08:29:36,-100,9.0,26.6,33.677053,-117.869511,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.869511 33.677053)
,2025-01-28 16:29:43.320,2025-01-28,08:29:43,-100,10.3,29.0,33.677353,-117.869288,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.869288 33.677353)
XAUCI   ,2025-01-28 16:29:50.910,2025-01-28,08:29:50,-100,11.2,26.6,33.677704,-117.86911,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.86911 33.677704)
,2025-01-28 16:30:00.530,2025-01-28,08:30:00,-100,11.2,26.6,33.678216,-117.868824,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.868824 33.678216)
,2025-01-28 16:30:04.150,2025-01-28,08:30:04,-100,7.6,23.2,33.67831,-117.86871,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.86871 33.67831)
,2025-01-28 16:30:12.930,2025-01-28,08:30:12,-100,2.3,26.6,33.678452,-117.868615,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.868615 33.678452)
XAUCI   ,2025-01-28 16:30:27.960,2025-01-28,08:30:27,-100,2.3,26.6,33.678543,-117.868615,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.868615 33.678543)
,2025-01-28 16:30:31.770,2025-01-28,08:30:31,-100,2.3,26.6,33.678589,-117.868559,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.868559 33.678589)
,2025-01-28 16:30:35.790,2025-01-28,08:30:35,-100,4.5,26.6,33.678635,-117.868503,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.868503 33.678635)
,2025-01-28 16:30:43.620,2025-01-28,08:30:43,-100,6.7,26.6,33.678864,-117.868391,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.868391 33.678864)
XAUCI   ,2025-01-28 16:30:54.040,2025-01-28,08:30:54,-100,9.0,26.6,33.67923,-117.868167,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.868167 33.67923)
,2025-01-28 16:30:59.760,2025-01-28,08:30:59,-100,9.5,18.4,33.679473,-117.86808,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.86808 33.679473)
,2025-01-28 16:31:02.500,2025-01-28,08:31:02,-100,10.5,16.7,33.679613,-117.868023,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.868023 33.679613)
,2025-01-28 16:31:17.290,2025-01-28,08:31:17,-125,8.1,29.7,33.680191,-117.867718,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.867718 33.680191)
XAUCI   ,2025-01-28 16:31:34.380,2025-01-28,08:31:34,-125,10.3,29.0,33.68087,-117.867279,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.867279 33.68087)
,2025-01-28 16:31:50.130,2025-01-28,08:31:50,-125,11.7,31.0,33.68161,-117.866821,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.866821 33.68161)
,2025-01-28 16:31:51.230,2025-01-28,08:31:51,-125,11.7,31.0,33.681656,-117.866765,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.866765 33.681656)
,2025-01-28 16:31:56.290,2025-01-28,08:31:56,-125,9.2,49.4,33.681801,-117.866535,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.866535 33.681801)
XAUCI   ,2025-01-28 16:31:59.140,2025-01-28,08:31:59,-125,8.6,54.5,33.681885,-117.866429,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.866429 33.681885)
,2025-01-28 16:32:01.230,2025-01-28,08:32:01,-125,7.6,66.8,33.681885,-117.866373,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.866373 33.681885)
,2025-01-28 16:32:04.180,2025-01-28,08:32:04,-125,6.4,71.6,33.681894,-117.866249,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.866249 33.681894)
,2025-01-28 16:32:09.230,2025-01-28,08:32:09,-125,2.1,90.0,33.681931,-117.866149,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.866149 33.681931)
XAUCI   ,2025-01-28 16:32:25.430,2025-01-28,08:32:25,-125,0.7,0.0,33.681931,-117.866149,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.866149 33.681931)
,2025-01-28 16:32:45.070,2025-01-28,08:32:45,-125,0.7,0.0,33.681931,-117.866149,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.866149 33.681931)
,2025-01-28 16:33:03.650,2025-01-28,08:33:03,-125,0.7,0.0,33.681931,-117.866149,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.866149 33.681931)
,2025-01-28 16:33:21.100,2025-01-28,08:33:21,-125,0.7,0.0,33.681931,-117.866149,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.866149 33.681931)
XAUCI   ,2025-01-28 16:33:39.100,2025-01-28,08:33:39,-125,0.7,0.0,33.681931,-117.866149,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.866149 33.681931)
,2025-01-28 16:33:44.330,2025-01-28,08:33:44,-125,0.7,0.0,33.681931,-117.866149,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.866149 33.681931)
,2025-01-28 16:33:58.310,2025-01-28,08:33:58,-125,2.1,90.0,33.681931,-117.866037,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.866037 33.681931)
,2025-01-28 16:34:00.290,2025-01-28,08:34:00,-125,2.1,90.0,33.681894,-117.865963,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.865963 33.681894)
XAUCI   ,2025-01-28 16:34:01.720,2025-01-28,08:34:01,-125,7.3,105.9,33.681894,-117.865906,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.865906 33.681894)
,2025-01-28 16:34:04.840,2025-01-28,08:34:04,-125,9.5,108.4,33.681839,-117.865756,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.865756 33.681839)
,2025-01-28 16:34:08.150,2025-01-28,08:34:08,-125,9.9,114.0,33.681747,-117.865588,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.865588 33.681747)
,2025-01-28 16:34:11.590,2025-01-28,08:34:11,-125,10.0,126.9,33.681661,-117.865391,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.865391 33.681661)
XAUCI   ,2025-01-28 16:34:18.140,2025-01-28,08:34:18,-100,6.1,170.5,33.681475,-117.865276,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.865276 33.681475)
,2025-01-28 16:34:21.140,2025-01-28,08:34:21,-100,5.0,180.0,33.681429,-117.865276,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.865276 33.681429)
,2025-01-28 16:34:23.850,2025-01-28,08:34:23,-100,4.2,194.0,33.681335,-117.865276,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.865276 33.681335)
,2025-01-28 16:34:26.820,2025-01-28,08:34:26,-100,3.2,198.4,33.681335,-117.865276,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.865276 33.681335)
XAUCI   ,2025-01-28 16:34:28.760,2025-01-28,08:34:28,-100,2.3,206.6,33.68129,-117.865308,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.865308 33.68129)
,2025-01-28 16:34:44.300,2025-01-28,08:34:44,-100,1.6,225.0,33.681244,-117.865364,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.865364 33.681244)
,2025-01-28 16:34:46.740,2025-01-28,08:34:46,-100,11.2,206.6,33.681149,-117.865391,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.865391 33.681149)
,2025-01-28 16:34:48.130,2025-01-28,08:34:48,-100,21.0,205.4,33.68101,-117.865505,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.865505 33.68101)
XAUCI   ,2025-01-28 16:34:49.250,2025-01-28,08:34:49,-100,26.4,204.6,33.680923,-117.865532,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.865532 33.680923)
,2025-01-28 16:34:50.490,2025-01-28,08:34:50,-100,34.4,205.8,33.680695,-117.8657,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.8657 33.680695)
,2025-01-28 16:34:56.570,2025-01-28,08:34:56,-100,61.3,208.2,33.679276,-117.866541,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.866541 33.679276)
,2025-01-28 16:34:58.640,2025-01-28,08:34:58,-100,74.7,207.9,33.678635,-117.866989,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.866989 33.678635)
XAUCI   ,2025-01-28 16:35:02.490,2025-01-28,08:35:02,-100,98.4,207.9,33.677216,-117.867886,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.867886 33.677216)
,2025-01-28 16:35:02.930,2025-01-28,08:35:02,-100,106.5,208.0,33.67696,-117.868023,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.868023 33.67696)
,2025-01-28 16:35:04.470,2025-01-28,08:35:04,-100,112.3,208.2,33.676483,-117.868335,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.868335 33.676483)
,2025-01-28 16:35:05.390,2025-01-28,08:35:05,-75,119.0,208.1,33.675705,-117.868839,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.868839 33.675705)
XAUCI   ,2025-01-28 16:35:06.680,2025-01-28,08:35:06,-75,124.8,208.2,33.675191,-117.869167,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.869167 33.675191)
,2025-01-28 16:35:08.010,2025-01-28,08:35:08,-75,127.9,208.0,33.674423,-117.869624,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.869624 33.674423)
,2025-01-28 16:35:08.680,2025-01-28,08:35:08,-75,131.5,208.1,33.674194,-117.869792,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.869792 33.674194)
,2025-01-28 16:35:09.310,2025-01-28,08:35:09,-75,136.9,207.9,33.673654,-117.87014,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.87014 33.673654)
XAUCI   ,2025-01-28 16:35:10.670,2025-01-28,08:35:10,-75,141.4,207.8,33.67305,-117.870521,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.870521 33.67305)
,2025-01-28 16:35:11.740,2025-01-28,08:35:11,-100,145.8,207.8,33.672444,-117.870884,0d086e,XAUCI,1,XAUCI_2025-01-28_leg1,POINT (-117.870884 33.672444)
