point_time,flight_date_pst,altitude,ground_speed,heading,lat,lon,icao,call_sign,leg_id,flight_leg
2025-02-07 02:14:47.310,2025-02-06,825,11.8,,43.692999,-79.636754,c060ba,UNKNOWN,1,UNKNOWN_leg1
2025-02-07 02:14:50.350,2025-02-06,825,63.7,226.3,43.692487,-79.637473,c060ba,UNKNOWN,1,UNKNOWN_leg1
2025-02-07 02:14:56.270,2025-02-06,825,82.8,226.5,43.690933,-79.639701,c060ba,UNKNOWN,1,UNKNOWN_leg1
2025-02-07 02:15:00.470,2025-02-06,825,105.4,226.1,43.689651,-79.641553,c060ba,UNKNOWN,1,UNKNOWN_leg1
2025-02-07 02:15:06.360,2025-02-06,825,130.1,226.2,43.687363,-79.644875,c060ba,UNKNOWN,1,UNKNOWN_leg1
2025-02-07 02:15:10.300,2025-02-06,825,141.5,226.1,43.685623,-79.647366,c060ba,UNKNOWN,1,UNKNOWN_leg1
2025-02-07 02:15:12.260,2025-02-06,825,145.7,226.1,43.684708,-79.648707,c060ba,UNKNOWN,1,UNKNOWN_leg1
2025-02-07 02:15:12.950,2025-02-06,850,147.1,226.1,43.684434,-79.649113,c060ba,UNKNOWN,1,UNKNOWN_leg1
2025-02-07 02:15:14.010,2025-02-06,875,147.1,226.1,43.683929,-79.649793,c060ba,UNKNOWN,1,UNKNOWN_leg1
2025-02-07 02:15:14.700,2025-02-06,875,147.8,226.4,43.683689,-79.650225,c060ba,UNKNOWN,1,UNKNOWN_leg1
2025-02-07 02:15:15.540,2025-02-06,925,147.8,226.4,43.683197,-79.650879,c060ba,UNKNOWN,1,UNKNOWN_leg1
2025-02-07 02:15:16.630,2025-02-06,950,146.4,226.4,43.682711,-79.651598,c060ba,UNKNOWN,1,UNKNOWN_leg1
2025-02-07 02:15:17.730,2025-02-06,1000,145.0,226.4,43.682281,-79.65222,c060ba,UNKNOWN,1,UNKNOWN_leg1
2025-02-07 02:15:19.050,2025-02-06,1100,142.9,226.1,43.681641,-79.653168,c060ba,UNKNOWN,1,UNKNOWN_leg1
2025-02-07 02:15:21.000,2025-02-06,1200,140.0,225.6,43.68071,-79.654476,c060ba,UNKNOWN,1,UNKNOWN_leg1
2025-02-07 02:15:22.320,2025-02-06,1300,137.9,225.9,43.680084,-79.65535,c060ba,UNKNOWN,1,UNKNOWN_leg1
2025-02-07 02:15:23.850,2025-02-06,1375,137.9,225.9,43.679453,-79.656241,c060ba,UNKNOWN,1,UNKNOWN_leg1
2025-02-07 02:15:25.340,2025-02-06,1475,135.8,225.6,43.678754,-79.657222,c060ba,UNKNOWN,1,UNKNOWN_leg1
2025-02-07 02:15:26.850,2025-02-06,1575,134.4,225.6,43.678162,-79.658097,c060ba,UNKNOWN,1,UNKNOWN_leg1
