flight,point_time,flight_date_pst,point_time_pst_clean,altitude,ground_speed,heading,lat,lon,icao,call_sign,leg_id,flight_leg,geometry
,2025-02-04 00:00:02.020,2025-02-03,16:00:02,17025,351.6,148.2,40.166155,-111.857175,a2644a,,1,,POINT (-111.857175 40.166155)
,2025-02-04 00:00:13.440,2025-02-03,16:00:13,17350,355.3,146.7,40.150452,-111.843994,a2644a,,1,,POINT (-111.843994 40.150452)
,2025-02-04 00:00:25.990,2025-02-03,16:00:25,17700,360.1,145.3,40.133196,-111.828773,a2644a,,1,,POINT (-111.828773 40.133196)
SKW4012 ,2025-02-04 00:00:39.650,2025-02-03,16:00:39,18025,365.5,144.4,40.114529,-111.811419,a2644a,SKW4012,1,SKW4012_2025-02-03_leg1,POINT (-111.811419 40.114529)
,2025-02-04 00:00:49.820,2025-02-03,16:00:49,18275,364.7,146.2,40.100372,-111.798645,a2644a,SKW4012,1,SKW4012_2025-02-03_leg1,POINT (-111.798645 40.100372)
,2025-02-04 00:01:01.030,2025-02-03,16:01:01,18575,365.7,148.0,40.084396,-111.785339,a2644a,SKW4012,1,SKW4012_2025-02-03_leg1,POINT (-111.785339 40.084396)
,2025-02-04 00:01:11.750,2025-02-03,16:01:11,18700,369.8,149.6,40.068908,-111.773217,a2644a,SKW4012,1,SKW4012_2025-02-03_leg1,POINT (-111.773217 40.068908)
SKW4012 ,2025-02-04 00:01:20.180,2025-02-03,16:01:20,18850,372.4,149.9,40.056432,-111.763791,a2644a,SKW4012,1,SKW4012_2025-02-03_leg1,POINT (-111.763791 40.056432)
,2025-02-04 00:01:24.390,2025-02-03,16:01:24,18950,373.7,149.8,40.050156,-111.759033,a2644a,SKW4012,1,SKW4012_2025-02-03_leg1,POINT (-111.759033 40.050156)
,2025-02-04 00:01:32.560,2025-02-03,16:01:32,19175,373.7,149.8,40.037811,-111.749684,a2644a,SKW4012,1,SKW4012_2025-02-03_leg1,POINT (-111.749684 40.037811)
,2025-02-04 00:01:40.600,2025-02-03,16:01:40,19375,375.1,149.7,40.025893,-111.740632,a2644a,SKW4012,1,SKW4012_2025-02-03_leg1,POINT (-111.740632 40.025893)
SKW4012 ,2025-02-04 00:01:47.480,2025-02-03,16:01:47,19600,373.7,149.8,40.015411,-111.732727,a2644a,SKW4012,1,SKW4012_2025-02-03_leg1,POINT (-111.732727 40.015411)
,2025-02-04 00:01:58.190,2025-02-03,16:01:58,20000,371.5,149.8,39.999545,-111.72072,a2644a,SKW4012,1,SKW4012_2025-02-03_leg1,POINT (-111.72072 39.999545)
,2025-02-04 00:02:05.570,2025-02-03,16:02:05,20250,371.0,149.9,39.988495,-111.712341,a2644a,SKW4012,1,SKW4012_2025-02-03_leg1,POINT (-111.712341 39.988495)
,2025-02-04 00:02:09.840,2025-02-03,16:02:09,20350,371.0,149.9,39.982086,-111.70752,a2644a,SKW4012,1,SKW4012_2025-02-03_leg1,POINT (-111.70752 39.982086)
SKW4012 ,2025-02-04 00:02:24.080,2025-02-03,16:02:24,20650,372.4,149.9,39.960906,-111.691569,a2644a,SKW4012,1,SKW4012_2025-02-03_leg1,POINT (-111.691569 39.960906)
,2025-02-04 00:02:37.660,2025-02-03,16:02:37,20950,373.7,149.8,39.94075,-111.676331,a2644a,SKW4012,1,SKW4012_2025-02-03_leg1,POINT (-111.676331 39.94075)
,2025-02-04 00:02:46.190,2025-02-03,16:02:46,21100,375.5,149.9,39.927901,-111.666662,a2644a,SKW4012,1,SKW4012_2025-02-03_leg1,POINT (-111.666662 39.927901)
,2025-02-04 00:03:03.140,2025-02-03,16:03:03,21350,379.1,149.9,39.902298,-111.647425,a2644a,SKW4012,1,SKW4012_2025-02-03_leg1,POINT (-111.647425 39.902298)
SKW4012 ,2025-02-04 00:03:16.660,2025-02-03,16:03:16,21650,379.1,149.9,39.881653,-111.631841,a2644a,SKW4012,1,SKW4012_2025-02-03_leg1,POINT (-111.631841 39.881653)
,2025-02-04 00:03:30.160,2025-02-03,16:03:30,21975,380.4,149.9,39.861331,-111.616516,a2644a,SKW4012,1,SKW4012_2025-02-03_leg1,POINT (-111.616516 39.861331)
,2025-02-04 00:03:42.600,2025-02-03,16:03:42,22300,382.2,150.0,39.842338,-111.602234,a2644a,SKW4012,1,SKW4012_2025-02-03_leg1,POINT (-111.602234 39.842338)
,2025-02-04 00:03:56.040,2025-02-03,16:03:56,22600,384.9,149.9,39.821686,-111.586761,a2644a,SKW4012,1,SKW4012_2025-02-03_leg1,POINT (-111.586761 39.821686)
SKW4012 ,2025-02-04 00:04:09.760,2025-02-03,16:04:09,22900,386.3,149.9,39.800441,-111.570801,a2644a,SKW4012,1,SKW4012_2025-02-03_leg1,POINT (-111.570801 39.800441)
,2025-02-04 00:04:23.700,2025-02-03,16:04:23,23200,387.1,149.9,39.779068,-111.554698,a2644a,SKW4012,1,SKW4012_2025-02-03_leg1,POINT (-111.554698 39.779068)
,2025-02-04 00:04:38.690,2025-02-03,16:04:38,23475,389.4,149.9,39.755447,-111.536965,a2644a,SKW4012,1,SKW4012_2025-02-03_leg1,POINT (-111.536965 39.755447)
,2025-02-04 00:04:52.720,2025-02-03,16:04:52,23775,390.7,149.9,39.733566,-111.520605,a2644a,SKW4012,1,SKW4012_2025-02-03_leg1,POINT (-111.520605 39.733566)
SKW4012 ,2025-02-04 00:05:08.180,2025-02-03,16:05:08,24050,391.6,150.0,39.709478,-111.502502,a2644a,SKW4012,1,SKW4012_2025-02-03_leg1,POINT (-111.502502 39.709478)
,2025-02-04 00:05:24.990,2025-02-03,16:05:24,24300,396.0,150.0,39.682897,-111.482727,a2644a,SKW4012,1,SKW4012_2025-02-03_leg1,POINT (-111.482727 39.682897)
,2025-02-04 00:05:41.050,2025-02-03,16:05:41,24575,399.6,150.0,39.657339,-111.463562,a2644a,SKW4012,1,SKW4012_2025-02-03_leg1,POINT (-111.463562 39.657339)
,2025-02-04 00:05:55.350,2025-02-03,16:05:55,24875,401.0,149.9,39.634343,-111.446411,a2644a,SKW4012,1,SKW4012_2025-02-03_leg1,POINT (-111.446411 39.634343)
SKW4012 ,2025-02-04 00:06:08.820,2025-02-03,16:06:08,25175,401.9,150.0,39.612762,-111.430266,a2644a,SKW4012,1,SKW4012_2025-02-03_leg1,POINT (-111.430266 39.612762)
,2025-02-04 00:06:23.440,2025-02-03,16:06:23,25450,402.7,150.1,39.589187,-111.41272,a2644a,SKW4012,1,SKW4012_2025-02-03_leg1,POINT (-111.41272 39.589187)
,2025-02-04 00:06:38.340,2025-02-03,16:06:38,25725,405.0,150.1,39.565073,-111.394714,a2644a,SKW4012,1,SKW4012_2025-02-03_leg1,POINT (-111.394714 39.565073)
,2025-02-04 00:06:50.420,2025-02-03,16:06:50,25950,406.0,149.8,39.545614,-111.380188,a2644a,SKW4012,1,SKW4012_2025-02-03_leg1,POINT (-111.380188 39.545614)
SKW4012 ,2025-02-04 00:07:02.590,2025-02-03,16:07:02,26300,405.1,148.9,39.525736,-111.364868,a2644a,SKW4012,1,SKW4012_2025-02-03_leg1,POINT (-111.364868 39.525736)
,2025-02-04 00:07:11.800,2025-02-03,16:07:11,26525,402.3,149.0,39.511631,-111.353943,a2644a,SKW4012,1,SKW4012_2025-02-03_leg1,POINT (-111.353943 39.511631)
,2025-02-04 00:07:26.410,2025-02-03,16:07:26,26825,404.1,149.2,39.48761,-111.335449,a2644a,SKW4012,1,SKW4012_2025-02-03_leg1,POINT (-111.335449 39.48761)
,2025-02-04 00:07:36.950,2025-02-03,16:07:36,27025,404.9,149.2,39.470901,-111.322612,a2644a,SKW4012,1,SKW4012_2025-02-03_leg1,POINT (-111.322612 39.470901)
SKW4012 ,2025-02-04 00:07:50.370,2025-02-03,16:07:50,27175,409.4,149.3,39.449018,-111.305847,a2644a,SKW4012,1,SKW4012_2025-02-03_leg1,POINT (-111.305847 39.449018)
,2025-02-04 00:08:05.370,2025-02-03,16:08:05,27325,414.3,149.2,39.424252,-111.286865,a2644a,SKW4012,1,SKW4012_2025-02-03_leg1,POINT (-111.286865 39.424252)
,2025-02-04 00:08:20.410,2025-02-03,16:08:20,27600,415.2,149.3,39.399719,-111.268066,a2644a,SKW4012,1,SKW4012_2025-02-03_leg1,POINT (-111.268066 39.399719)
,2025-02-04 00:08:33.800,2025-02-03,16:08:33,27900,416.1,149.4,39.377374,-111.250977,a2644a,SKW4012,1,SKW4012_2025-02-03_leg1,POINT (-111.250977 39.377374)
SKW4012 ,2025-02-04 00:08:46.840,2025-02-03,16:08:46,28225,415.2,149.3,39.355865,-111.234542,a2644a,SKW4012,1,SKW4012_2025-02-03_leg1,POINT (-111.234542 39.355865)
,2025-02-04 00:08:59.800,2025-02-03,16:08:59,28450,417.4,149.3,39.334313,-111.218018,a2644a,SKW4012,1,SKW4012_2025-02-03_leg1,POINT (-111.218018 39.334313)
,2025-02-04 00:09:16.840,2025-02-03,16:09:16,28700,421.9,149.4,39.305878,-111.196329,a2644a,SKW4012,1,SKW4012_2025-02-03_leg1,POINT (-111.196329 39.305878)
