point_time,flight_date_pst,point_time_pst_clean,altitude,ground_speed,heading,lat,lon,icao,call_sign,leg_id,flight_leg,geometry
2025-02-04 15:38:36.810,2025-02-04,07:38:36,0,115.0,270.5,36.937432,-76.28948,ae4af6,RCH431,1,RCH431_2025-02-04_leg1,POINT (-76.28948 36.937432)
2025-02-04 15:38:38.740,2025-02-04,07:38:38,25,119.0,270.5,36.937432,-76.290675,ae4af6,RCH431,1,RCH431_2025-02-04_leg1,POINT (-76.290675 36.937432)
2025-02-04 15:38:41.980,2025-02-04,07:38:41,125,123.0,270.5,36.937432,-76.293123,ae4af6,RCH431,1,RCH431_2025-02-04_leg1,POINT (-76.293123 36.937432)
2025-02-04 15:38:46.380,2025-02-04,07:38:46,225,126.0,269.5,36.937385,-76.296168,ae4af6,RCH431,1,RCH431_2025-02-04_leg1,POINT (-76.296168 36.937385)
2025-02-04 15:38:53.100,2025-02-04,07:38:53,325,129.0,269.1,36.937408,-76.300984,ae4af6,RCH431,1,RCH431_2025-02-04_leg1,POINT (-76.300984 36.937408)
2025-02-04 15:38:57.090,2025-02-04,07:38:57,425,131.0,269.1,36.937408,-76.304256,ae4af6,RCH431,1,RCH431_2025-02-04_leg1,POINT (-76.304256 36.937408)
2025-02-04 15:39:01.250,2025-02-04,07:39:01,525,134.0,269.6,36.937225,-76.307354,ae4af6,RCH431,1,RCH431_2025-02-04_leg1,POINT (-76.307354 36.937225)
2025-02-04 15:39:05.000,2025-02-04,07:39:05,625,134.0,269.1,36.937225,-76.310217,ae4af6,RCH431,1,RCH431_2025-02-04_leg1,POINT (-76.310217 36.937225)
2025-02-04 15:39:07.530,2025-02-04,07:39:07,725,134.0,269.6,36.937246,-76.312349,ae4af6,RCH431,1,RCH431_2025-02-04_leg1,POINT (-76.312349 36.937246)
2025-02-04 15:39:10.880,2025-02-04,07:39:10,825,135.0,269.6,36.937225,-76.314892,ae4af6,RCH431,1,RCH431_2025-02-04_leg1,POINT (-76.314892 36.937225)
2025-02-04 15:39:14.340,2025-02-04,07:39:14,925,137.0,270.0,36.937246,-76.317424,ae4af6,RCH431,1,RCH431_2025-02-04_leg1,POINT (-76.317424 36.937246)
2025-02-04 15:39:17.900,2025-02-04,07:39:17,1025,139.0,270.0,36.937246,-76.320588,ae4af6,RCH431,1,RCH431_2025-02-04_leg1,POINT (-76.320588 36.937246)
2025-02-04 15:39:22.240,2025-02-04,07:39:22,1100,143.0,269.2,36.937246,-76.323992,ae4af6,RCH431,1,RCH431_2025-02-04_leg1,POINT (-76.323992 36.937246)
2025-02-04 15:39:25.610,2025-02-04,07:39:25,1175,147.1,268.4,36.937246,-76.326738,ae4af6,RCH431,1,RCH431_2025-02-04_leg1,POINT (-76.326738 36.937246)
2025-02-04 15:39:29.250,2025-02-04,07:39:29,1275,150.2,267.3,36.937042,-76.329969,ae4af6,RCH431,1,RCH431_2025-02-04_leg1,POINT (-76.329969 36.937042)
2025-02-04 15:39:32.830,2025-02-04,07:39:32,1375,152.3,266.6,36.936905,-76.333125,ae4af6,RCH431,1,RCH431_2025-02-04_leg1,POINT (-76.333125 36.936905)
2025-02-04 15:39:36.870,2025-02-04,07:39:36,1475,154.4,265.9,36.936722,-76.336748,ae4af6,RCH431,1,RCH431_2025-02-04_leg1,POINT (-76.336748 36.936722)
2025-02-04 15:39:39.780,2025-02-04,07:39:39,1575,155.7,264.5,36.936547,-76.339277,ae4af6,RCH431,1,RCH431_2025-02-04_leg1,POINT (-76.339277 36.936547)
2025-02-04 15:39:43.820,2025-02-04,07:39:43,1675,158.1,263.1,36.936175,-76.342919,ae4af6,RCH431,1,RCH431_2025-02-04_leg1,POINT (-76.342919 36.936175)
2025-02-04 15:39:46.690,2025-02-04,07:39:46,1775,161.1,257.1,36.935852,-76.34563,ae4af6,RCH431,1,RCH431_2025-02-04_leg1,POINT (-76.34563 36.935852)
2025-02-04 15:39:50.290,2025-02-04,07:39:50,1875,164.4,251.6,36.934964,-76.34889,ae4af6,RCH431,1,RCH431_2025-02-04_leg1,POINT (-76.34889 36.934964)
2025-02-04 15:39:53.950,2025-02-04,07:39:53,1975,168.5,246.9,36.93394,-76.352114,ae4af6,RCH431,1,RCH431_2025-02-04_leg1,POINT (-76.352114 36.93394)
2025-02-04 15:39:58.210,2025-02-04,07:39:58,2075,170.9,245.1,36.93259,-76.355876,ae4af6,RCH431,1,RCH431_2025-02-04_leg1,POINT (-76.355876 36.93259)
2025-02-04 15:40:01.380,2025-02-04,07:40:01,2175,172.7,244.6,36.931366,-76.358837,ae4af6,RCH431,1,RCH431_2025-02-04_leg1,POINT (-76.358837 36.931366)
2025-02-04 15:40:04.940,2025-02-04,07:40:04,2275,174.4,244.2,36.930309,-76.361966,ae4af6,RCH431,1,RCH431_2025-02-04_leg1,POINT (-76.361966 36.930309)
2025-02-04 15:40:08.410,2025-02-04,07:40:08,2375,175.8,243.3,36.928959,-76.365071,ae4af6,RCH431,1,RCH431_2025-02-04_leg1,POINT (-76.365071 36.928959)
2025-02-04 15:40:12.070,2025-02-04,07:40:12,2475,177.5,243.6,36.927612,-76.368421,ae4af6,RCH431,1,RCH431_2025-02-04_leg1,POINT (-76.368421 36.927612)
2025-02-04 15:40:15.550,2025-02-04,07:40:15,2575,179.3,243.1,36.926376,-76.371577,ae4af6,RCH431,1,RCH431_2025-02-04_leg1,POINT (-76.371577 36.926376)
2025-02-04 15:40:18.280,2025-02-04,07:40:18,2675,179.8,242.9,36.925188,-76.374326,ae4af6,RCH431,1,RCH431_2025-02-04_leg1,POINT (-76.374326 36.925188)
