point_time,flight_date_pst,altitude,ground_speed,heading,lat,lon,icao,call_sign,leg_id,flight_leg,geometry
2025-02-07 01:49:56.940,2025-02-06,225,0.0,0.0,42.360348,-71.015817,a11f59,UAL2400,1,UAL2400_leg1,POINT (-71.015817 42.360348)
2025-02-07 01:50:00.650,2025-02-06,225,0.7,0.0,42.360348,-71.015817,a11f59,UAL2400,1,UAL2400_leg1,POINT (-71.015817 42.360348)
2025-02-07 01:59:43.330,2025-02-06,250,93.0,76.4,42.356918,-71.006574,a11f59,UAL2400,1,UAL2400_leg1,POINT (-71.006574 42.356918)
2025-02-07 01:59:44.200,2025-02-06,225,103.8,76.6,42.35701,-71.006074,a11f59,UAL2400,1,UAL2400_leg1,POINT (-71.006074 42.35701)
2025-02-07 01:59:46.110,2025-02-06,250,108.9,76.7,42.357239,-71.004701,a11f59,UAL2400,1,UAL2400_leg1,POINT (-71.004701 42.357239)
2025-02-07 01:59:46.660,2025-02-06,250,114.2,76.3,42.357323,-71.004319,a11f59,UAL2400,1,UAL2400_leg1,POINT (-71.004319 42.357323)
2025-02-07 01:59:47.540,2025-02-06,250,119.3,76.4,42.357416,-71.003744,a11f59,UAL2400,1,UAL2400_leg1,POINT (-71.003744 42.357416)
2025-02-07 01:59:49.070,2025-02-06,250,129.5,76.6,42.357648,-71.002467,a11f59,UAL2400,1,UAL2400_leg1,POINT (-71.002467 42.357648)
2025-02-07 01:59:51.030,2025-02-06,250,133.6,76.6,42.357925,-71.000893,a11f59,UAL2400,1,UAL2400_leg1,POINT (-71.000893 42.357925)
2025-02-07 01:59:51.570,2025-02-06,250,139.0,76.3,42.357974,-71.000487,a11f59,UAL2400,1,UAL2400_leg1,POINT (-71.000487 42.357974)
2025-02-07 01:59:53.120,2025-02-06,250,143.1,76.3,42.358246,-70.999021,a11f59,UAL2400,1,UAL2400_leg1,POINT (-70.999021 42.358246)
2025-02-07 01:59:53.550,2025-02-06,225,148.2,76.3,42.358292,-70.998709,a11f59,UAL2400,1,UAL2400_leg1,POINT (-70.998709 42.358292)
