point_time,flight_date_pst,altitude,ground_speed,heading,lat,lon,icao,call_sign,leg_id,flight_leg,geometry
2025-02-08 00:14:29.800,2025-02-07,40000,432.5,243.5,21.774216,-150.983659,ac308f,UNKNOWN,2,UNKNOWN_leg2,POINT (-150.983659 21.774216)
2025-02-08 00:14:35.590,2025-02-07,39975,433.4,243.6,21.76886,-150.995195,ac308f,UNKNOWN,2,UNKNOWN_leg2,POINT (-150.995195 21.76886)
2025-02-08 00:15:38.760,2025-02-07,40000,,,21.712243,-151.116282,ac308f,UNKNOWN,2,UNKNOWN_leg2,POINT (-151.116282 21.712243)
2025-02-08 00:15:41.110,2025-02-07,40000,432.9,243.4,21.710288,-151.120504,ac308f,UNKNOWN,2,UNKNOWN_leg2,POINT (-151.120504 21.710288)
2025-02-08 00:16:43.310,2025-02-07,40000,430.7,243.4,21.654465,-151.239641,ac308f,UNKNOWN,2,UNKNOWN_leg2,POINT (-151.239641 21.654465)
2025-02-08 00:17:00.150,2025-02-07,40000,430.7,243.4,21.639342,-151.271922,ac308f,UNKNOWN,2,UNKNOWN_leg2,POINT (-151.271922 21.639342)
2025-02-08 00:17:39.530,2025-02-07,40000,432.0,243.3,21.603973,-151.347157,ac308f,UNKNOWN,2,UNKNOWN_leg2,POINT (-151.347157 21.603973)
2025-02-08 00:17:58.750,2025-02-07,40000,432.5,243.2,21.58667,-151.383961,ac308f,UNKNOWN,2,UNKNOWN_leg2,POINT (-151.383961 21.58667)
2025-02-08 00:18:17.150,2025-02-07,39975,433.4,243.3,21.569979,-151.419423,ac308f,UNKNOWN,2,UNKNOWN_leg2,POINT (-151.419423 21.569979)
2025-02-08 00:18:36.080,2025-02-07,40000,433.4,243.3,21.552802,-151.455892,ac308f,UNKNOWN,2,UNKNOWN_leg2,POINT (-151.455892 21.552802)
2025-02-08 00:18:41.520,2025-02-07,40000,433.8,243.1,21.547989,-151.466059,ac308f,AAL692  ,3,AAL692  _leg3,POINT (-151.466059 21.547989)
2025-02-08 00:18:57.010,2025-02-07,39975,433.8,243.1,21.533661,-151.495872,ac308f,AAL692  ,3,AAL692  _leg3,POINT (-151.495872 21.533661)
2025-02-08 00:19:03.860,2025-02-07,39975,433.4,246.0,21.527847,-151.509055,ac308f,AAL692  ,3,AAL692  _leg3,POINT (-151.509055 21.527847)
2025-02-08 00:19:09.690,2025-02-07,40000,433.0,248.2,21.523474,-151.520386,ac308f,AAL692  ,3,AAL692  _leg3,POINT (-151.520386 21.523474)
2025-02-08 00:19:15.920,2025-02-07,40000,432.3,251.1,21.519098,-151.533254,ac308f,AAL692  ,3,AAL692  _leg3,POINT (-151.533254 21.519098)
2025-02-08 00:19:22.310,2025-02-07,40000,432.8,253.5,21.515213,-151.546609,ac308f,AAL692  ,3,AAL692  _leg3,POINT (-151.546609 21.515213)
2025-02-08 00:19:28.550,2025-02-07,40000,433.7,256.1,21.512146,-151.559043,ac308f,AAL692  ,3,AAL692  _leg3,POINT (-151.559043 21.512146)
2025-02-08 00:19:34.320,2025-02-07,40000,433.6,258.6,21.509648,-151.571452,ac308f,AAL692  ,3,AAL692  _leg3,POINT (-151.571452 21.509648)
2025-02-08 00:19:45.840,2025-02-07,40000,433.7,259.9,21.506249,-151.595256,ac308f,AAL692  ,3,AAL692  _leg3,POINT (-151.595256 21.506249)
2025-02-08 00:19:51.690,2025-02-07,40000,433.5,262.7,21.504684,-151.608681,ac308f,AAL692  ,3,AAL692  _leg3,POINT (-151.608681 21.504684)
2025-02-08 00:20:10.860,2025-02-07,39975,431.9,262.3,21.499603,-151.649481,ac308f,AAL692  ,3,AAL692  _leg3,POINT (-151.649481 21.499603)
2025-02-08 00:20:30.210,2025-02-07,39975,428.8,262.4,21.494425,-151.690267,ac308f,AAL692  ,3,AAL692  _leg3,POINT (-151.690267 21.494425)
2025-02-08 00:20:32.160,2025-02-07,39975,428.8,262.4,21.493927,-151.694275,ac308f,AAL692  ,3,AAL692  _leg3,POINT (-151.694275 21.493927)
2025-02-08 00:21:59.280,2025-02-07,40000,431.8,262.4,21.471039,-151.877946,ac308f,AAL692  ,3,AAL692  _leg3,POINT (-151.877946 21.471039)
2025-02-08 00:22:16.340,2025-02-07,39975,433.8,262.5,21.466599,-151.914101,ac308f,AAL692  ,3,AAL692  _leg3,POINT (-151.914101 21.466599)
2025-02-08 00:22:35.620,2025-02-07,39975,434.9,262.3,21.461466,-151.955261,ac308f,AAL692  ,3,AAL692  _leg3,POINT (-151.955261 21.461466)
2025-02-08 00:22:53.670,2025-02-07,40000,433.9,262.3,21.456573,-151.994302,ac308f,AAL692  ,3,AAL692  _leg3,POINT (-151.994302 21.456573)
2025-02-08 00:23:12.640,2025-02-07,39975,433.9,262.3,21.45155,-152.034149,ac308f,AAL692  ,3,AAL692  _leg3,POINT (-152.034149 21.45155)
2025-02-08 00:23:32.440,2025-02-07,40000,434.9,262.3,21.446182,-152.076599,ac308f,AAL692  ,3,AAL692  _leg3,POINT (-152.076599 21.446182)
2025-02-08 00:23:39.320,2025-02-07,40000,434.9,262.3,21.444288,-152.091777,ac308f,AAL692  ,3,AAL692  _leg3,POINT (-152.091777 21.444288)
2025-02-08 00:23:56.810,2025-02-07,39975,434.9,262.3,21.439728,-152.128285,ac308f,AAL692  ,3,AAL692  _leg3,POINT (-152.128285 21.439728)
2025-02-08 00:24:16.510,2025-02-07,39975,434.9,262.3,21.434373,-152.170817,ac308f,AAL692  ,3,AAL692  _leg3,POINT (-152.170817 21.434373)
2025-02-08 00:24:36.330,2025-02-07,40000,435.9,262.4,21.429019,-152.213135,ac308f,AAL692  ,3,AAL692  _leg3,POINT (-152.213135 21.429019)
2025-02-08 00:24:55.450,2025-02-07,40000,435.9,262.4,21.423852,-152.253774,ac308f,AAL692  ,3,AAL692  _leg3,POINT (-152.253774 21.423852)
2025-02-08 00:25:14.000,2025-02-07,39975,434.9,262.3,21.418871,-152.293447,ac308f,AAL692  ,3,AAL692  _leg3,POINT (-152.293447 21.418871)
2025-02-08 00:25:33.900,2025-02-07,40000,435.0,262.2,21.413361,-152.336326,ac308f,AAL692  ,3,AAL692  _leg3,POINT (-152.336326 21.413361)
2025-02-08 00:25:53.180,2025-02-07,39975,436.0,262.2,21.408164,-152.376709,ac308f,AAL692  ,3,AAL692  _leg3,POINT (-152.376709 21.408164)
2025-02-08 00:26:12.680,2025-02-07,39975,437.0,262.2,21.402764,-152.419078,ac308f,AAL692  ,3,AAL692  _leg3,POINT (-152.419078 21.402764)
2025-02-08 00:26:32.560,2025-02-07,39975,436.0,262.2,21.397271,-152.461497,ac308f,AAL692  ,3,AAL692  _leg3,POINT (-152.461497 21.397271)
2025-02-08 00:26:52.550,2025-02-07,39975,436.0,262.2,21.391846,-152.504067,ac308f,AAL692  ,3,AAL692  _leg3,POINT (-152.504067 21.391846)
2025-02-08 00:27:12.420,2025-02-07,39975,435.0,262.2,21.386353,-152.546764,ac308f,AAL692  ,3,AAL692  _leg3,POINT (-152.546764 21.386353)
2025-02-08 00:27:29.300,2025-02-07,39975,434.0,262.2,21.381862,-152.58194,ac308f,AAL692  ,3,AAL692  _leg3,POINT (-152.58194 21.381862)
