time,lat,lon,altitude,ground_speed,heading,details,alt_geom,nnumber,model,desc,timestamp,ping_time,icao
18.59,34.147416,-97.012081,32000,428.8,312.9,,33275.0,N8718Q,B38M,BOEING 737 MAX 8,2025-02-09,2025-02-09 00:00:18.590,abfd8c
12932.66,40.026126,-106.79485,35975,338.5,273.0,,36050.0,N8718Q,B38M,BOEING 737 MAX 8,2025-02-09,2025-02-09 03:35:32.660,abfd8c
12930.0,40.025894,-106.789429,35925,339.5,273.0,,36000.0,N8718Q,B38M,BOEING 737 MAX 8,2025-02-09,2025-02-09 03:35:30.000,abfd8c
12926.91,40.025661,-106.783239,35875,340.5,273.2,,35950.0,N8718Q,B38M,BOEING 737 MAX 8,2025-02-09,2025-02-09 03:35:26.910,abfd8c
12913.32,40.024497,-106.755212,35550,345.5,273.1,"{'type': 'adsb_icao', 'flight': 'SWA3512 ', 'alt_geom': 35600, 'track': 273.15, 'baro_rate': 1408, 'squawk': '1454', 'emergency': 'none', 'category': 'A3', 'nav_qnh': 1013.6, 'nav_altitude_mcp': 36000, 'nav_heading': 260.16, 'nic': 8, 'rc': 186, 'version': 2, 'nic_baro': 1, 'nac_p': 10, 'nac_v': 2, 'sil': 3, 'sil_type': 'perhour', 'gva': 2, 'sda': 2, 'alert': 0, 'spi': 0}",35600.0,N8718Q,B38M,BOEING 737 MAX 8,2025-02-09,2025-02-09 03:35:13.320,abfd8c
12899.76,40.023285,-106.726868,35250,349.5,273.1,,35300.0,N8718Q,B38M,BOEING 737 MAX 8,2025-02-09,2025-02-09 03:34:59.760,abfd8c
12885.81,40.022076,-106.697409,34950,353.6,273.2,,35000.0,N8718Q,B38M,BOEING 737 MAX 8,2025-02-09,2025-02-09 03:34:45.810,abfd8c
12870.86,40.020633,-106.665636,34650,356.6,273.4,,34675.0,N8718Q,B38M,BOEING 737 MAX 8,2025-02-09,2025-02-09 03:34:30.860,abfd8c
12936.65,40.026452,-106.803027,36000,338.5,273.0,"{'type': 'adsb_icao', 'flight': 'SWA3512 ', 'alt_geom': 36100, 'track': 273.05, 'baro_rate': 320, 'squawk': '1454', 'emergency': 'none', 'category': 'A3', 'nav_qnh': 1013.6, 'nav_altitude_mcp': 36000, 'nav_heading': 260.16, 'nic': 8, 'rc': 186, 'version': 2, 'nic_baro': 1, 'nac_p': 10, 'nac_v': 2, 'sil': 3, 'sil_type': 'perhour', 'gva': 2, 'sda': 2, 'alert': 0, 'spi': 0}",36100.0,N8718Q,B38M,BOEING 737 MAX 8,2025-02-09,2025-02-09 03:35:36.650,abfd8c
12854.68,40.019119,-106.63092,34400,357.5,273.0,"{'type': 'adsb_icao', 'flight': 'SWA3512 ', 'alt_geom': 34425, 'track': 273.05, 'baro_rate': 832, 'squawk': '1454', 'emergency': 'none', 'category': 'A3', 'nav_qnh': 1013.6, 'nav_altitude_mcp': 36000, 'nav_heading': 260.16, 'nic': 8, 'rc': 186, 'version': 2, 'nic_baro': 1, 'nac_p': 10, 'nac_v': 2, 'sil': 3, 'sil_type': 'perhour', 'gva': 2, 'sda': 2, 'alert': 0, 'spi': 0}",34425.0,N8718Q,B38M,BOEING 737 MAX 8,2025-02-09,2025-02-09 03:34:14.680,abfd8c
12817.04,40.015652,-106.550279,33975,353.6,273.2,,33975.0,N8718Q,B38M,BOEING 737 MAX 8,2025-02-09,2025-02-09 03:33:37.040,abfd8c
12797.26,40.013855,-106.508606,33750,351.6,273.3,,33750.0,N8718Q,B38M,BOEING 737 MAX 8,2025-02-09,2025-02-09 03:33:17.260,abfd8c
12777.34,40.012024,-106.466736,33600,348.6,273.3,"{'type': 'adsb_icao', 'flight': 'SWA3512 ', 'alt_geom': 33575, 'track': 273.29, 'baro_rate': 512, 'squawk': '1454', 'emergency': 'none', 'category': 'A3', 'nav_qnh': 1013.6, 'nav_altitude_mcp': 36000, 'nav_heading': 260.86, 'nic': 8, 'rc': 186, 'version': 2, 'nic_baro': 1, 'nac_p': 10, 'nac_v': 2, 'sil': 3, 'sil_type': 'perhour', 'gva': 2, 'sda': 2, 'alert': 0, 'spi': 0}",33575.0,N8718Q,B38M,BOEING 737 MAX 8,2025-02-09,2025-02-09 03:32:57.340,abfd8c
12757.38,40.010112,-106.42506,33425,346.6,273.5,,33375.0,N8718Q,B38M,BOEING 737 MAX 8,2025-02-09,2025-02-09 03:32:37.380,abfd8c
12737.89,40.00825,-106.38461,33275,343.6,273.3,,33225.0,N8718Q,B38M,BOEING 737 MAX 8,2025-02-09,2025-02-09 03:32:17.890,abfd8c
12717.92,40.006439,-106.34375,33125,338.6,273.4,,33075.0,N8718Q,B38M,BOEING 737 MAX 8,2025-02-09,2025-02-09 03:31:57.920,abfd8c
12698.09,40.0047,-106.303894,32975,332.5,273.3,"{'type': 'adsb_icao', 'flight': 'SWA3512 ', 'alt_geom': 32925, 'track': 273.28, 'baro_rate': 512, 'squawk': '1454', 'emergency': 'none', 'category': 'A3', 'nav_qnh': 1013.6, 'nav_altitude_mcp': 36000, 'nav_heading': 260.86, 'nic': 8, 'rc': 186, 'version': 2, 'nic_baro': 1, 'nac_p': 10, 'nac_v': 2, 'sil': 3, 'sil_type': 'perhour', 'gva': 2, 'sda': 2, 'alert': 0, 'spi': 0}",32925.0,N8718Q,B38M,BOEING 737 MAX 8,2025-02-09,2025-02-09 03:31:38.090,abfd8c
12836.54,40.017514,-106.592102,34175,355.6,273.2,,34200.0,N8718Q,B38M,BOEING 737 MAX 8,2025-02-09,2025-02-09 03:33:56.540,abfd8c
12956.57,40.028275,-106.843384,36000,337.6,273.4,,36100.0,N8718Q,B38M,BOEING 737 MAX 8,2025-02-09,2025-02-09 03:35:56.570,abfd8c
12976.23,40.029922,-106.883301,36000,337.4,272.9,,36100.0,N8718Q,B38M,BOEING 737 MAX 8,2025-02-09,2025-02-09 03:36:16.230,abfd8c
12996.2,40.031433,-106.923814,36000,338.4,272.7,,36125.0,N8718Q,B38M,BOEING 737 MAX 8,2025-02-09,2025-02-09 03:36:36.200,abfd8c
13332.8,40.057297,-107.618469,36000,345.4,272.7,"{'type': 'adsb_icao', 'flight': 'SWA3512 ', 'alt_geom': 36050, 'track': 272.66, 'baro_rate': 0, 'squawk': '1454', 'emergency': 'none', 'category': 'A3', 'nav_qnh': 1013.6, 'nav_altitude_mcp': 36000, 'nav_heading': 260.16, 'nic': 8, 'rc': 186, 'version': 2, 'nic_baro': 1, 'nac_p': 10, 'nac_v': 2, 'sil': 3, 'sil_type': 'perhour', 'gva': 2, 'sda': 2, 'alert': 0, 'spi': 0}",36050.0,N8718Q,B38M,BOEING 737 MAX 8,2025-02-09,2025-02-09 03:42:12.800,abfd8c
13313.1,40.055832,-107.577576,36000,345.4,272.7,,36050.0,N8718Q,B38M,BOEING 737 MAX 8,2025-02-09,2025-02-09 03:41:53.100,abfd8c
13293.15,40.054383,-107.536177,36000,343.4,272.7,,36050.0,N8718Q,B38M,BOEING 737 MAX 8,2025-02-09,2025-02-09 03:41:33.150,abfd8c
13273.56,40.053033,-107.495915,36000,341.3,272.5,,36050.0,N8718Q,B38M,BOEING 737 MAX 8,2025-02-09,2025-02-09 03:41:13.560,abfd8c
