point_time,flight_date_pst,point_time_pst_clean,altitude,ground_speed,heading,lat,lon,icao,call_sign,leg_id,flight_leg,geometry
2025-02-04 04:02:18.468,2025-02-03,20:02:18,ground,0.0,270.0,33.642464,-84.425354,a339b4,,1,,POINT (-84.425354 33.642464)
2025-02-04 04:02:48.978,2025-02-03,20:02:48,ground,0.0,270.0,33.64246,-84.425363,a339b4,,1,,POINT (-84.425363 33.64246)
2025-02-04 04:04:08.008,2025-02-03,20:04:08,ground,0.0,270.0,33.642453,-84.425354,a339b4,DAL2940,1,DAL2940_2025-02-03_leg1,POINT (-84.425354 33.642453)
2025-02-04 04:04:28.128,2025-02-03,20:04:28,ground,0.0,270.0,33.64246,-84.425363,a339b4,DAL2940,1,DAL2940_2025-02-03_leg1,POINT (-84.425363 33.64246)
2025-02-04 04:05:02.818,2025-02-03,20:05:02,ground,0.0,270.0,33.64246,-84.425363,a339b4,DAL2940,1,DAL2940_2025-02-03_leg1,POINT (-84.425363 33.64246)
2025-02-04 04:05:18.848,2025-02-03,20:05:18,ground,2.8,272.8,33.64246,-84.425237,a339b4,DAL2940,1,DAL2940_2025-02-03_leg1,POINT (-84.425237 33.64246)
2025-02-04 04:05:31.308,2025-02-03,20:05:31,ground,4.2,272.8,33.642448,-84.424957,a339b4,DAL2940,1,DAL2940_2025-02-03_leg1,POINT (-84.424957 33.642448)
2025-02-04 04:05:37.118,2025-02-03,20:05:37,ground,4.2,270.0,33.642441,-84.424825,a339b4,DAL2940,1,DAL2940_2025-02-03_leg1,POINT (-84.424825 33.642441)
2025-02-04 04:05:39.598,2025-02-03,20:05:39,ground,4.8,264.4,33.642437,-84.424747,a339b4,DAL2940,1,DAL2940_2025-02-03_leg1,POINT (-84.424747 33.642437)
2025-02-04 04:05:42.108,2025-02-03,20:05:42,ground,4.8,258.8,33.642429,-84.424682,a339b4,DAL2940,1,DAL2940_2025-02-03_leg1,POINT (-84.424682 33.642429)
2025-02-04 04:05:45.968,2025-02-03,20:05:45,ground,4.2,250.3,33.642418,-84.424582,a339b4,DAL2940,1,DAL2940_2025-02-03_leg1,POINT (-84.424582 33.642418)
2025-02-04 04:05:49.218,2025-02-03,20:05:49,ground,4.2,244.7,33.642429,-84.42451,a339b4,DAL2940,1,DAL2940_2025-02-03_leg1,POINT (-84.42451 33.642429)
2025-02-04 04:05:51.188,2025-02-03,20:05:51,ground,4.2,239.1,33.642429,-84.424467,a339b4,DAL2940,1,DAL2940_2025-02-03_leg1,POINT (-84.424467 33.642429)
2025-02-04 04:05:52.708,2025-02-03,20:05:52,ground,4.2,236.2,33.642437,-84.424424,a339b4,DAL2940,1,DAL2940_2025-02-03_leg1,POINT (-84.424424 33.642437)
2025-02-04 04:05:54.228,2025-02-03,20:05:54,ground,4.2,230.6,33.642437,-84.424396,a339b4,DAL2940,1,DAL2940_2025-02-03_leg1,POINT (-84.424396 33.642437)
2025-02-04 04:05:56.308,2025-02-03,20:05:56,ground,4.2,225.0,33.642448,-84.424354,a339b4,DAL2940,1,DAL2940_2025-02-03_leg1,POINT (-84.424354 33.642448)
2025-02-04 04:06:01.478,2025-02-03,20:06:01,ground,3.2,208.1,33.642483,-84.424256,a339b4,DAL2940,1,DAL2940_2025-02-03_leg1,POINT (-84.424256 33.642483)
2025-02-04 04:06:03.678,2025-02-03,20:06:03,ground,2.8,202.5,33.642494,-84.424228,a339b4,DAL2940,1,DAL2940_2025-02-03_leg1,POINT (-84.424228 33.642494)
2025-02-04 04:06:05.608,2025-02-03,20:06:05,ground,2.8,194.1,33.642511,-84.424195,a339b4,DAL2940,1,DAL2940_2025-02-03_leg1,POINT (-84.424195 33.642511)
2025-02-04 04:06:20.298,2025-02-03,20:06:20,ground,0.1,182.8,33.64254,-84.424158,a339b4,DAL2940,1,DAL2940_2025-02-03_leg1,POINT (-84.424158 33.64254)
2025-02-04 04:07:36.008,2025-02-03,20:07:36,ground,0.0,182.8,33.64254,-84.424158,a339b4,DAL2940,1,DAL2940_2025-02-03_leg1,POINT (-84.424158 33.64254)
2025-02-04 04:08:31.118,2025-02-03,20:08:31,ground,0.0,182.8,33.642534,-84.424152,a339b4,DAL2940,1,DAL2940_2025-02-03_leg1,POINT (-84.424152 33.642534)
2025-02-04 04:08:51.348,2025-02-03,20:08:51,ground,0.0,182.8,33.64254,-84.424158,a339b4,DAL2940,1,DAL2940_2025-02-03_leg1,POINT (-84.424158 33.64254)
2025-02-04 04:09:35.688,2025-02-03,20:09:35,ground,0.0,182.8,33.642488,-84.424152,a339b4,DAL2940,1,DAL2940_2025-02-03_leg1,POINT (-84.424152 33.642488)
2025-02-04 04:09:40.718,2025-02-03,20:09:40,ground,0.0,177.2,33.642403,-84.424144,a339b4,DAL2940,1,DAL2940_2025-02-03_leg1,POINT (-84.424144 33.642403)
2025-02-04 04:09:45.128,2025-02-03,20:09:45,ground,4.8,171.6,33.642313,-84.424109,a339b4,DAL2940,1,DAL2940_2025-02-03_leg1,POINT (-84.424109 33.642313)
2025-02-04 04:09:51.928,2025-02-03,20:09:51,ground,6.8,157.5,33.64215,-84.424009,a339b4,DAL2940,1,DAL2940_2025-02-03_leg1,POINT (-84.424009 33.64215)
2025-02-04 04:09:55.818,2025-02-03,20:09:55,ground,7.2,140.6,33.642069,-84.423881,a339b4,DAL2940,1,DAL2940_2025-02-03_leg1,POINT (-84.423881 33.642069)
2025-02-04 04:10:00.148,2025-02-03,20:10:00,ground,7.2,120.9,33.642014,-84.42371,a339b4,DAL2940,1,DAL2940_2025-02-03_leg1,POINT (-84.42371 33.642014)
2025-02-04 04:10:02.118,2025-02-03,20:10:02,ground,7.2,112.5,33.642014,-84.423626,a339b4,DAL2940,1,DAL2940_2025-02-03_leg1,POINT (-84.423626 33.642014)
